id,ONG,proyecto,fecha
4104,Schroeder-Hamill,United States Cellular Corporation,2000-05-05
4105,Rohan And Sons,EQT Corporation,2008-03-18
4106,Schoen And Sons,Peckett,1984-05-09
4107,"Kutch, Rodriguez And Hettinger",SQM - Maria Elena,2003-12-10
4108,Koelpin-Hand,Entercom Communications Corporation,2013-02-11
4109,"Lindgren, Padberg And Hand",United Microelectronics Corporation,1980-09-22
4110,Hills Inc,SCL Chemetall,2016-09-21
4111,"Volkman, Hamill And Stiedemann",PureFunds ETFx HealthTech ETF,2017-03-18
4112,Trantow-Quigley,Maria Elisa,2018-10-16
4113,Dietrich And Sons,E.I. du Pont de Nemours and Company,1991-09-22
4114,Nikolaus-Mueller,Peapack-Gladstone Financial Corporation,1994-03-17
4115,Schimmel-Mcglynn,Arenal,2015-12-16
4116,Waelchi Inc,Montecristo,1977-11-24
4117,Feest-Graham,CMP - Los Colorados,2017-09-04
4118,Gleichner And Sons,"XO Group, Inc.",2019-05-24
4119,"Mante, Ferry And Corwin","Waste Management, Inc.",2017-07-21
4120,"Kassulke, Morar And Crooks",Cerro Casale,1988-12-28
4121,Romaguera-Gerhold,El Volcan,1998-07-06
4122,Witting-Ernser,Independence Holding Company,2004-02-21
4123,Hahn-Rohan,"CenterPoint Energy, Inc.",2005-07-30
4124,Terry ,"SeaChange International, Inc.",2011-01-07
4125,Rolfson And Sons,Brookfield Global Listed Infrastructure Income Fund,2019-05-15
4126,Bahringer Group,Kamada Ltd.,2006-09-20
4127,Ortiz-Weimann,"RiverNorth Opportunities Fund, Inc.",2017-07-28
4128,"Haag, Beatty And Walker",CMP - Algarrobo,2007-10-08
4129,Adenex,"Silicon Laboratories, Inc.",2019-08-08
4130,Bradtke-Wilkinson,SCL Chemetall,1978-12-04
4131,O'Hara ,Dynatronics Corporation,1967-02-08
4132,Macejkovic-Haag,Incyte Corporation,2010-07-12
4133,"Champlin, Oberbrunner And Eichmann","Enanta Pharmaceuticals, Inc.",1983-07-23
4134,Cassin-Jerde,Entercom Communications Corporation,2017-11-10
4135,Lueilwitz-Runolfsdottir,Los Bronces,2013-04-24
4136,"Botsford, Breitenberg And Steuber",Cosayach - Soledad,2018-01-20
4137,Hilpert ,Cerro Negro,1996-11-07
4138,Aufderhar-Hettinger,Inacesa - El Way,1992-08-13
4139,Christiansen ,E*TRADE Financial Corporation,2002-02-21
4140,Heaney Inc,Romeral,2015-10-07
4141,Willms-Ondricka,"Impax Laboratories, Inc.",2016-07-17
4142,Aufderhar-Mitchell,Esperanza,2011-02-07
4143,"Medhurst, Thiel And Schuster",iShares MSCI EM ESG Optimized ETF,2004-12-22
4144,"Cassin, Kohler And Bauch",Westpac Banking Corporation,2011-11-02
4145,Goyette Inc,Ceragon Networks Ltd.,2009-07-12
4146,"Mohr, Monahan And Hermiston",Spence,2008-08-26
4147,Schuppe And Sons,B.O.S. Better Online Solutions,1969-03-31
4148,"Mante, Bode And Wiegand",GlaxoSmithKline PLC,2007-05-25
4149,Ernser-Eichmann,AmerisourceBergen Corporation (Holding Co),2015-11-08
4150,"Dooley, Lindgren And Kub",Tres Valles,2002-04-25
4151,Marvin-Corkery,Western Alliance Bancorporation,1997-06-14
4152,Osinski-Kunze,Intracampos,2001-06-09
4153,Franecki-Beahan,"German American Bancorp, Inc.",2016-02-22
4154,Leffler Group,E.I. du Pont de Nemours and Company,1998-04-27
4155,Wisoky ,Kilroy Realty Corporation,1986-12-18
4156,Heaney Inc,Suncor EnergyInc.,1985-02-28
4157,Olson-Green,HollyFrontier Corporation,1996-03-09
4158,Kunze-Welch,BLDRS Asia 50 ADR Index Fund,2019-02-22
4159,Goyette Inc,L.B. Foster Company,1995-04-07
4160,"Grady, Hermann And Streich",Caleta El Cobre,2013-07-31
4161,"Fay, Hyatt And Rolfson","Sierra Oncology, Inc.",2019-03-19
4162,Gusikowski Inc,"JA Solar Holdings, Co., Ltd.",2019-03-27
4163,"Cronin, Welch And Rippin",U.S. Energy Corp.,2014-12-11
4164,"Fay, Simonis And Morar",The Community Financial Corporation,1988-06-05
4165,Gulgowski-Spinka,Randgold Resources Limited,2002-12-03
4166,Denesik And Sons,"Aspen Technology, Inc.",2018-01-06
4167,Schuster-Kub,Credit Acceptance Corporation,1977-04-05
4168,Lueilwitz Inc,"LTC Properties, Inc.",2018-12-30
4169,Simonis-Torphy,"FSB Bancorp, Inc.",1979-08-24
4170,King ,Jeronimo,2015-02-07
4171,Mcglynn ,Biglari Holdings Inc.,1988-06-05
4172,"Gusikowski, Luettgen And Cremin","Ellie Mae, Inc.",2002-07-21
4173,Williamson-Littel,Gabriela Mistral,2007-02-01
4174,"Blanda, Stanton And Altenwerth",SQM - Mapocho,1991-03-31
4175,Kilback Inc,Quiborax - Ascotan,2013-06-19
4176,"Kuhlman, Denesik And King",Azul S.A.,1975-12-27
4177,Kuhn-Herzog,"HD Supply Holdings, Inc.",2007-05-14
4178,Wolf-Boehm,"FTI Consulting, Inc.",2015-06-20
4179,"Haag, Beatty And Walker",Las Cenizas,1984-05-26
4180,"Pfeffer, Durgan And Hayes",Blackstone GSO Long Short Credit Income Fund,2006-12-13
4181,Runolfsdottir-Emard,Peckett,1998-03-20
4182,"Cole, Reichert And Halvorson",Flor de Los Andes,1962-08-09
4183,"Ratke, Swaniawski And Spinka",Cerro Colorado,1964-11-16
4184,Mraz Group,"Destination XL Group, Inc.",2016-03-03
4185,Klein Group,Yahoo! Inc.,1984-10-09
4186,Ritchie-Rath,"Dupont Fabros Technology, Inc.",1999-07-20
4187,Africa Esperanza,"Hurco Companies, Inc.",2001-05-27
4188,"Langosh, Lueilwitz And Lehner",SCL Chemetall,1985-11-30
4189,Durgan ,La Coipa,1988-12-02
4190,Hickle Group,"RiverNorth Opportunities Fund, Inc.",2017-08-01
4191,Jerde-Bauch,"NextEra Energy, Inc.",1995-03-17
4192,Franecki-Beahan,"Safe Bulkers, Inc",2013-06-09
4193,Jaskolski-Ebert,Linderos,2009-08-05
4194,Schneider Inc,Biglari Holdings Inc.,1980-07-31
4195,"Littel, Lynch And Lowe",Royal Caribbean Cruises Ltd.,2019-06-02
4196,"Dooley, Lindgren And Kub",Georgia Power Company,2002-05-09
4197,Effertz-Zboncak,Inacesa - El Jilguero,1961-01-08
4198,"Watsica, Spencer And Weissnat",Nuveen Floating Rate Income Fund,1999-08-05
4199,"Larson, Franecki And Macejkovic",Yahoo! Inc.,2013-04-24
4200,Carroll-Moen,"CatchMark Timber Trust, Inc.",1993-05-31
4201,Zieme-O'Reilly,"Western New England Bancorp, Inc.",2009-08-30
4202,"Becker, Deckow And O'Keefe",BRF S.A.,1952-11-16
4203,Rohan Inc,El Peñon,2012-01-26
4204,Rutherford Group,"International Seaways, Inc.",2011-10-13
4205,"Kassulke, Morar And Crooks",American Homes 4 Rent,1998-08-28
4206,Koepp ,SQM - Mapocho,2015-10-20
4207,Simonis-Torphy,"Tootsie Roll Industries, Inc.",1982-06-02
4208,Breitenberg And Sons,DRDGOLD Limited,2019-03-23
4209,Wehner And Sons,Refugio,2010-06-01
4210,Feil-Nikolaus,ACF - Lagunas,1963-03-05
4211,Ritchie Group,3M Company,1988-07-18
4212,Runolfsson-Renner,"Herman Miller, Inc.",2001-10-02
4213,Upton-O'Keefe,China Mobile (Hong Kong) Ltd.,1982-07-29
4214,Bartell Inc,China Mobile (Hong Kong) Ltd.,1977-05-25
4215,"Hickle, Beatty And Gleichner",Caserones,2004-02-26
4216,Prohaska Inc,Can Can,2016-12-27
4217,Accion Familiar,Vina Concha Y Toro,2012-08-03
4218,Bins-Goldner,EQT Corporation,1991-01-21
4219,"Leffler, Wisozk And Koelpin",Terreno Realty Corporation,2007-12-23
4220,Mitchell-Bosco,China Cord Blood Corporation,1975-06-24
4221,"Keeling, Kilback And Mcdermott",Unisys Corporation,1982-10-25
4222,"Maggio, Franecki And Batz",Credit Acceptance Corporation,2000-01-16
4223,"Spinka, Senger And Brakus",Inacesa - El Jilguero,2017-09-20
4224,"Collins, Collier And Herman",SQM - Pampa Blanca,2003-09-27
4225,"Stark, Langworth And Kovacek",Kite Realty Group Trust,2016-06-02
4226,Schiller-Mitchell,Pure Cycle Corporation,2000-09-16
4227,Gottlieb Inc,Independence Holding Company,2018-02-25
4228,"Schaden, Homenick And Gutkowski","Diamond Hill Investment Group, Inc.",2005-10-12
4229,Bradtke-Walsh,Chimberos,2016-08-23
4230,D'Amore-Kuhlman,Old Republic International Corporation,2002-12-20
4231,Reichert-Hermiston,iShares 20+ Year Treasury Bond ETF,2004-12-10
4232,Zboncak-Kerluke,"Hawkins, Inc.",1989-10-14
4233,Schuster ,Chimberos,2019-03-11
4234,"Crona, Schmeler And Greenfelder","First Financial Bankshares, Inc.",2006-04-30
4235,Towne ,Nuveen Floating Rate Income Fund,2006-05-31
4236,Adane,Caleta El Cobre,1998-03-18
4237,Labadie And Sons,"FTI Consulting, Inc.",2003-01-25
4238,Bechtelar-Wuckert,Nuveen Connecticut Quality Municipal Income Fund,2014-12-27
4239,Hodkiewicz ,The Community Financial Corporation,2014-11-10
4240,Lesch And Sons,Jazz Pharmaceuticals plc,2015-11-13
4241,Mueller-Simonis,"PrivateBancorp, Inc.",2014-03-08
4242,Williamson-Littel,"Taiwan Fund, Inc. (The)",2018-08-08
4243,Luettgen-Satterfield,"Commerce Bancshares, Inc.",2017-01-12
4244,"Fay, Hyatt And Rolfson",Catamutun,2017-07-31
4245,Sporer And Sons,Kraton Corporation,1998-11-10
4246,Raynor And Sons,"SolarEdge Technologies, Inc.",2012-11-11
4247,Stracke And Sons,L.B. Foster Company,2007-06-25
4248,"Becker, Haag And Hammes",Eaton Vance Corporation,2014-09-26
4249,"Nolan, Renner And Lesch",Special Opportunities Fund Inc.,1986-02-02
4250,Hilll-Lemke,San Jose,2016-08-15
4251,Schimmel-Murray,Stamps.com Inc.,1989-01-27
4252,"Goyette, Huels And Champlin","TC PipeLines, LP",2017-05-13
4253,Jerde-Lowe,iShares 20+ Year Treasury Bond ETF,2002-07-23
4254,"Jacobi, Spencer And Mayer",Las Cenizas,1982-06-09
4255,Schneider Inc,Refugio,1980-06-08
4256,Mann-Schinner,"Chunghwa Telecom Co., Ltd.",2019-01-31
4257,Cremin-Hodkiewicz,Maganeso III de Atacama,1978-12-04
4258,Deckow-Nikolaus,III de Atacama Minerals - Aguas Blancas,2015-03-15
4259,Little-Murazik,Carvana Co.,2018-10-02
4260,Auer-Ryan,Incyte Corporation,2008-03-13
4261,"Watsica, Spencer And Weissnat",Northrop Grumman Corporation,1962-11-24
4262,Rosenbaum-Brekke,Condor,2018-06-02
4263,Watsica Inc,SQM - Pampa Blanca,2018-11-23
4264,O'Hara-Bergstrom,"RiverNorth Opportunities Fund, Inc.",2017-09-18
4265,Sipes Group,"UMH Properties, Inc.",1991-01-16
4266,Schiller-Reilly,JM Global Holding Company,1970-04-21
4267,Padberg Group,Navio,1991-07-27
4268,Miller-Luettgen,Brookfield Global Listed Infrastructure Income Fund,2016-06-22
4269,Howe-Kreiger,Ojos del Salado,2009-08-09
4270,Carroll-Mcclure,Elkhorn Commodity Rotation Strategy ETF,2012-09-19
4271,Vonrueden-Miller,"SolarEdge Technologies, Inc.",2014-02-16
4272,"Bauch, Ernser And Cronin","Financial Engines, Inc.",1993-10-03
4273,Murray-Braun,Arenal,2016-03-10
4274,Terry Group,Nuveen Connecticut Quality Municipal Income Fund,1999-05-04
4275,"Blanda, Stanton And Altenwerth",SCL Chemetall,1975-05-11
4276,"Schaden, Wehner And Price",First Trust Nasdaq Retail ETF,2017-04-30
4277,Mohr And Sons,"Mid-America Apartment Communities, Inc.",2002-03-28
4278,Towne ,San Geronimo,2019-03-09
4279,Zemlak-Daniel,"LM Funding America, Inc.",2005-12-27
4280,"Schaden, Homenick And Gutkowski",Data Processing,2000-04-20
4281,Kovacek-Swift,Cerro Iman,1983-05-31
4282,Kuhic Inc,Pampa Camarones,2019-06-23
4283,"Haag, Beatty And Walker","H&R Block, Inc.",1989-05-25
4284,Barrows Group,"Argos Therapeutics, Inc.",1999-04-01
4285,Pacocha-Heller,"HD Supply Holdings, Inc.",2004-05-24
4286,Nikolaus-Mueller,"First Financial Bankshares, Inc.",1992-07-06
4287,Fritsch And Sons,"NextEra Energy, Inc.",1977-05-06
4288,Mitchell-Bosco,Patriot National Bancorp Inc.,1975-05-08
4289,"King, Gusikowski And Mosciski","Franklin Financial Network, Inc.",2003-04-19
4290,"Gutkowski, Huel And Murazik",Novelion Therapeutics Inc.,2006-02-20
4291,Schroeder-Wiza,Marine Petroleum Trust,2019-08-24
4292,Dickens-Boyle,"JA Solar Holdings, Co., Ltd.",2018-07-12
4293,Nikolaus-Mueller,China Cord Blood Corporation,1973-06-20
4294,"Kuvalis, Bauch And Schumm",Hamilton Lane Incorporated,2000-01-29
4295,Gutkowski ,First Trust Multi-Asset Diversified Income Index Fund,2009-11-08
4296,Cassin Group,"Universal Stainless & Alloy Products, Inc.",1973-08-02
4297,"Heathcote, Schinner And Walker",First Trust South Korea AlphaDEX Fund,2002-07-22
4298,"Becker, Deckow And O'Keefe",Tres Valles,2002-02-28
4299,"Collins, Murray And O'Reilly",Ojos del Salado,2012-05-22
4300,"Ledner, Skiles And Emard",Container Store (The),2011-10-26
4301,Adama,KT Corporation,1985-03-15
4302,"Leffler, Wisozk And Koelpin",Can Can,2019-08-29
4303,"Cartwright, Kulas And Fahey",Randgold Resources Limited,1982-01-04
4304,"Grimes, Leuschke And Huel",AbbVie Inc.,2013-08-06
4305,"Mckenzie, Lynch And Reinger",CMP - Boqueron Chañar,2010-01-01
4306,Maggio-O'Keefe,Fidus Investment Corporation,1956-11-08
4307,Franecki-Beahan,Torchmark Corporation,1971-05-27
4308,Hintz-Reilly,SQM - Pampa Blanca,2010-03-12
4309,O'Reilly-Hilll,Patriot National Bancorp Inc.,1990-08-30
4310,Swaniawski-Sawayn,Julia,2009-05-30
4311,"Halvorson, Jacobson And Ward",Yahoo! Inc.,1989-06-04
4312,Halvorson ,Los Pelambres,2016-11-19
4313,Runolfsdottir-Prosacco,NVIDIA Corporation,1999-01-11
4314,Zboncak And Sons,"Texas Capital Bancshares, Inc.",1971-05-19
4315,"O'Kon, Huels And Lubowitz",Stamps.com Inc.,2013-08-17
4316,"Fay, Hyatt And Rolfson",Double Eagle Acquisition Corp.,2007-03-04
4317,"Lindgren, Padberg And Hand",Park-Ohio Holdings Corp.,2012-11-06
4318,Gerlach-Leuschke,"Avon Products, Inc.",1992-05-10
4319,Bernier-Stokes,Diageo plc,2018-10-18
4320,Marks-Stokes,Check-Cap Ltd.,1977-02-20
4321,Russel Group,Global Partner Acquisition Corp.,2009-04-14
4322,"Spinka, Schuster And Kerluke","China Lodging Group, Limited",1952-05-09
4323,"Cassin, Kohler And Bauch",Intracampos,1995-11-24
4324,Osinski-Zemlak,"Appliance Recycling Centers of America, Inc.",2018-12-18
4325,"Heathcote, Schinner And Walker","Hub Group, Inc.",2008-05-22
4326,D'Amore-Kuhlman,Nuveen Energy MLP Total Return Fund,1995-10-12
4327,"Torp, Schmitt And Kemmer",Stamps.com Inc.,2011-11-28
4328,Hegmann And Sons,SQM - Maria Elena,1972-04-01
4329,Schneider Inc,Romeral,2008-08-23
4330,"Rippin, Huel And Mccullough",KT Corporation,1981-11-04
4331,Friesen-Pfeffer,Mackinac Financial Corporation,2011-02-08
4332,Jast Group,Dynatronics Corporation,1966-10-17
4333,"Cruickshank, Nienow And Abbott",Novanta Inc.,1978-04-07
4334,Pouros Group,"Kayne Anderson Energy Total Return Fund, Inc.",1980-10-28
4335,Schneider And Sons,Northern Trust Corporation,1979-07-15
4336,O'Conner Inc,Pupunahue,1995-05-28
4337,Skiles-Schamberger,CoreSite Realty Corporation,1964-02-24
4338,"Homenick, Sipes And Carter",Gladstone Commercial Corporation,2014-10-08
4339,Upton-O'Keefe,Navio,1989-02-10
4340,Kuhn-Greenholt,Cordillera - Tenardita,1997-01-06
4341,"Luettgen, Watsica And Kutch","National American University Holdings, Inc.",2006-11-08
4342,Keebler-Stark,III de Atacama Minerals - Aguas Blancas,2005-10-07
4343,"Gutkowski, Kuhlman And Purdy",SAP SE,2008-07-11
4344,Barrows Group,Pampa Camarones,2015-09-29
4345,Bednar-Flatley,Nuveen Municipal High Income Opportunity Fund,2003-01-07
4346,"Cartwright, Kulas And Fahey","ILG, Inc",1995-05-21
4347,Kunze-Ernser,Check-Cap Ltd.,1994-01-06
4348,"Mckenzie, Cummings And Rippin",San Geronimo,2019-05-23
4349,Grady Group,iShares MSCI EM ESG Optimized ETF,2019-07-13
4350,Roob-Jacobson,Radomiro Tomic,1985-07-21
4351,Blick-Bartell,Special Opportunities Fund Inc.,1999-12-04
4352,Hilpert ,Terreno Realty Corporation,1999-05-16
4353,Dubuque And Sons,El Volcan,2016-12-25
4354,Rosenbaum-Brekke,La Productora,2019-05-02
4355,"Bruen, Kulas And Hodkiewicz",Tranquilo,2019-07-07
4356,"Macejkovic, Gusikowski And Keeling",Caserones,1995-09-25
4357,"Konopelski, Hermann And Ziemann",United Insurance Holdings Corp.,2014-06-23
4358,Wisozk ,"Chegg, Inc.",2015-03-11
4359,Bechtelar-Wuckert,"Fiserv, Inc.",1974-03-24
4360,Stark Inc,Kilroy Realty Corporation,1995-09-04
4361,"Okuneva, Vonrueden And Quigley",Gabriela Mistral,2013-01-01
4362,"Herman, Luettgen And Balistreri",La Pepa,2013-10-21
4363,Schoen And Sons,"Chegg, Inc.",2019-05-31
4364,Feil-Nikolaus,Walter Investment Management Corp.,2017-09-30
4365,Stracke-Mayer,Royal Caribbean Cruises Ltd.,2019-01-25
4366,Volkman-Conn,"Argos Therapeutics, Inc.",2006-01-16
4367,"Moore, Kub And Murazik","HCA Healthcare, Inc.",1991-07-20
4368,Bednar-Crist,Global Partner Acquisition Corp.,2016-03-10
4369,Smitham-Hickle,"Franklin Financial Network, Inc.",2005-11-16
4370,Emard-Stroman,Pampa Camarones,2017-01-08
4371,"Miller, Senger And Kertzmann",Check-Cap Ltd.,1969-01-23
4372,Bartoletti-Daniel,"Impax Laboratories, Inc.",2018-08-18
4373,Fadel Group,KT Corporation,1982-11-04
4374,Cremin-Hodkiewicz,SQM - Yumbes,2003-03-09
4375,Jones-Kemmer,Candelaria,1985-06-30
4376,"Grady, Nicolas And Blick",Entegra Financial Corp.,1993-05-30
4377,"Johns, Kessler And Balistreri","MasTec, Inc.",1992-07-16
4378,Corwin Group,Mantos de la Luna,2007-12-25
4379,Afalcontigo,L.B. Foster Company,2014-10-22
4380,Brakus Group,"Texas Capital Bancshares, Inc.",2013-10-11
4381,"Crooks, Mraz And Volkman","Chegg, Inc.",2016-04-08
4382,King ,Silvercrest Asset Management Group Inc.,1970-05-16
4383,Schoen And Sons,PowerShares BuyBack Achievers Portfolio,1997-08-07
4384,"King, Stroman And Flatley","Taiwan Fund, Inc. (The)",2004-11-24
4385,"Koelpin, Stehr And Senger",Chuquicamata,1989-01-07
4386,Rowe-Fisher,"Portola Pharmaceuticals, Inc.",1953-07-30
4387,"Volkman, Kulas And Hodkiewicz","Cogentix Medical, Inc.",2006-05-24
4388,"Hessel, Predovic And Green","Enanta Pharmaceuticals, Inc.",2017-01-17
4389,"Boyle, Walsh And Blanda",CMP - El Laco,2019-01-23
4390,Swaniawski Group,"German American Bancorp, Inc.",1995-07-24
4391,Konopelski And Sons,Nuveen AMT-Free Municipal Value Fund,2012-07-19
4392,"Volkman, Hamill And Stiedemann",United States Cellular Corporation,2019-05-23
4393,Cremin-Hodkiewicz,"Impax Laboratories, Inc.",2008-08-11
4394,Monahan-Grimes,"Safe Bulkers, Inc",1998-05-26
4395,Accion Natura,EQT Corporation,2001-09-30
4396,Towne-Hamill,Entegra Financial Corp.,2016-04-28
4397,"Little, Heller And Lubowitz",Pirquitas,2003-11-26
4398,"Mohr, Monahan And Hermiston",Bed Bath & Beyond Inc.,1995-08-12
4399,"Nolan, Reynolds And Waters","XO Group, Inc.",2016-12-10
4400,Bahringer Group,Costamare Inc.,1998-07-28
4401,Gleason And Sons,"MasTec, Inc.",1993-02-04
4402,"Toy, Hahn And King","Franklin Financial Network, Inc.",2008-02-21
4403,Zulauf Group,Dos Amigos,1984-11-26
4404,Okuneva Inc,"Argos Therapeutics, Inc.",2011-12-14
4405,Ferry-Hessel,"Safe Bulkers, Inc",1993-05-29
4406,Jaskolski-Ebert,Ojos del Salado,2018-07-21
4407,Connelly-Ruecker,PrimeEnergy Corporation,2004-04-14
4408,"Becker, Deckow And O'Keefe",Cordillera - Tenardita,2018-06-27
4409,Gleason ,Moog Inc.,1986-03-11
4410,"Boehm, Mccullough And Cronin","TC PipeLines, LP",1985-03-16
4411,"Kassulke, Hamill And Luettgen",SL Green Realty Corporation,2010-09-04
4412,"Gerlach, Fritsch And Rippin",Celite - Carol,2014-10-16
4413,Doyle-Powlowski,"Aspen Technology, Inc.",2014-08-04
4414,Hayes And Sons,TICC Capital Corp.,1958-02-28
4415,"Koelpin, Stehr And Senger",Peckett,2012-11-02
4416,Goyette-Rau,"International Seaways, Inc.",2011-02-02
4417,"Dietrich, Conn And Hand","PDF Solutions, Inc.",2017-05-04
4418,"Reilly, Veum And Wehner",DRDGOLD Limited,2018-09-21
4419,"Volkman, Kulas And Hodkiewicz",Array BioPharma Inc.,2014-06-28
4420,Torp-Hintz,Caserones,2002-01-25
4421,Hayes And Sons,Patriot National Bancorp Inc.,2010-08-07
4422,Corkery ,Las Luces,1992-07-05
4423,Champlin ,Georgia Power Company,2017-10-17
4424,Gutmann-Feest,Novelion Therapeutics Inc.,2013-10-11
4425,"Gerlach, Fritsch And Rippin","NextEra Energy, Inc.",1994-02-02
4426,Bayer-Bashirian,Cabot Corporation,2006-11-25
4427,"Volkman, Hamill And Stiedemann","Sportsman's Warehouse Holdings, Inc.",2013-12-02
4428,Dibbert-Shields,RenaissanceRe Holdings Ltd.,1999-11-24
4429,Bartoletti-Dickinson,"SolarEdge Technologies, Inc.",2018-01-14
4430,Bartoletti-Kunde,Nuveen Energy MLP Total Return Fund,2011-02-09
4431,Glover Group,"Edge Therapeutics, Inc.",2009-02-03
4432,Wunsch-Larson,Imax Corporation,1982-05-30
4433,Stracke Group,ENGlobal Corporation,1959-04-21
4434,"Kutch, Cremin And Mcclure","Westbury Bancorp, Inc.",2016-03-17
4435,Sipes Group,"Universal Stainless & Alloy Products, Inc.",1969-11-22
4436,"Mertz, Greenholt And Lind",Zion Oil & Gas Inc,2006-05-06
4437,Tromp ,Kamada Ltd.,2015-01-29
4438,"Sporer, Graham And Medhurst",Enel Generacion Chile S.A.,1961-09-20
4439,Schaden-Gleichner,Carvana Co.,2016-12-27
4440,"Torphy, Marquardt And Oberbrunner",Silvercrest Asset Management Group Inc.,1990-03-05
4441,"Skiles, Bauch And Rippin","Edge Therapeutics, Inc.",1972-07-10
4442,"Senger, Kemmer And Dickinson",Novelion Therapeutics Inc.,2014-03-08
4443,Gutkowski-Bartoletti,Bed Bath & Beyond Inc.,2001-05-07
4444,Welch ,PrimeEnergy Corporation,2004-02-14
4445,Cassin And Sons,"Recon Technology, Ltd.",1988-04-05
4446,Jenkins Group,Cambrex Corporation,1986-06-06
4447,Dietrich And Sons,Celite - Tilviche,1967-01-27
4448,Langworth ,Cordillera - Tenardita,1997-03-05
4449,Cruickshank Inc,Kamada Ltd.,2013-08-06
4450,"Larson, Franecki And Macejkovic",Great Elm Capital Corp.,2009-12-02
4451,"Pfeffer, Durgan And Hayes","Commerce Bancshares, Inc.",2019-03-19
4452,"Hegmann, Koelpin And Lindgren",Nuveen Floating Rate Income Fund,1978-02-16
4453,Schmidt-Schinner,"PDF Solutions, Inc.",2004-07-09
4454,D'Amore-Kuhlman,"Mirna Therapeutics, Inc.",1981-02-18
4455,Haag-Stoltenberg,"Midland States Bancorp, Inc.",2002-01-02
4456,Hilll-Lemke,Silicon Motion Technology Corporation,2013-05-27
4457,"Heathcote, Schinner And Walker",Los Pelambres,1990-03-30
4458,"Russel, Kemmer And Pacocha","Biocept, Inc.",2005-12-06
4459,Ritchie Group,Suncor EnergyInc.,1990-11-26
4460,Schmitt-Mckenzie,"TC PipeLines, LP",1953-05-05
4461,Aesco,"Safe Bulkers, Inc",2016-01-09
4462,Hoeger ,Guaranty Bancorp,1996-08-15
4463,Hayes-O'Reilly,"Cogentix Medical, Inc.",1978-09-23
4464,Harber Inc,Catamutun,2018-05-19
4465,Bins Group,Pirquitas,2001-12-10
4466,"Conroy, Wisoky And Daniel",Westpac Banking Corporation,2000-03-19
